input,output
[-0.8551745380615543],-0.7546854397472018
[-8.482232438944607],-0.8090568007153047
[2.2605571381421576],0.7713982454047295
[-0.29872511164532867],-0.2943020194660699
[8.95351249300451],0.45401417337886557
[0.35933904192760124],0.35165556781134805
[5.182123645043713],-0.8916884235464025
[-0.3471464613449946],-0.3402158786925738
[1.6953249152658962],0.9922563300863839
[4.097878317199795],-0.8170556761468878
[6.209024755579396],-0.07409259241289032
[-2.8955761676784046],-0.24354233023182476
[2.6520848172898663],0.4701915789855975
[3.9530467285006097],-0.7252889906969373
[-7.388729320961649],-0.8937083942486949
[-5.00277415608311],0.9581336625847187
[8.853399329483846],0.5407922065711928
[4.448588833059633],-0.9654060586460008
[2.049250336478627],0.8877077686316553
[6.412454365960048],0.12890933459424997
[-3.4472358836492267],0.3009066560765596
[-0.1487800290712329],-0.14823174959598875
[-0.31637177125824145],-0.31112045446406683
[-9.579104573820107],0.15371475026904483
[5.705528362858921],-0.5460625557223634
[-3.5248092013178667],0.37390563958267137
[-8.59079911543763],-0.7406107491267666
[0.28903403196046895],0.28502645888078576
[9.798963408828797],-0.3655144608707434
[1.1233479561480664],0.901554040653303
[-7.300202176085304],-0.8505429635400001
[2.8631029503871286],0.2749038549823122
[7.687023818149111],0.9860948892475294
[-0.32873999059384573],-0.32285074922965373
[-4.57329899593976],0.9903425725871179
[-9.166198517278882],-0.2557074813879509
[-8.363567269451543],-0.8729467160477534
[-7.337919817645431],-0.8697692502435814
[-7.3582652153376475],-0.8796281625128067
[-9.603439914155786],0.1777129848327465
[7.389024906656342],0.8938409692270882
[0.463999129313315],0.4475279771888638
[8.41455466454265],0.8469505859972294
[8.966214972644977],0.44266001095154334
[-1.079416173432655],-0.8816824825704509
[-6.209517275635039],0.07360141714774489
[6.254290589247216],-0.02889069737746162
[9.80573917820844],-0.37181294656435526
[-2.3715330020555463],-0.696178061861695
[7.3170237115033885],0.8592687517824144
[-7.185945332519705],-0.7850395831249162
[9.825228294255421],-0.38983308741584904
[6.0562677385579455],-0.2249751853898057
[-5.1359401604147115],0.9116351551565617
[4.997606194419703],-0.9596005586740638
[9.482421554112527],-0.05761167577949718
[5.211364820871399],-0.8780731097814893
[8.692952310791558],0.6682289505418769
[-2.533211805457589],-0.5715395751317145
[-4.316635066041763],0.9227061896682455
[7.81230889118914],0.9991318169071124
[-2.8962360301451096],-0.24290228307169587
[8.583621559007305],0.7454144770942036
[8.9813059938528],0.42907815934470667
[-0.3767750413217179],-0.36792364067735916
[-8.392301865631271],-0.858571100256146
[-2.902582364645994],-0.23674116623288305
[-9.761758118360525],0.3306386053398667
[0.6808686225868747],0.6294682039461911
[-6.037350444270011],0.24336617183390136
[-6.767362830695851],-0.46548057750190863
[7.670608906459901],0.9832342802158788
[2.9345565513996075],0.2055602047770168
[-4.363411943070479],0.9397229929437745
[2.310060684496122],0.738964393575839
[-6.9705473695662405],-0.6345004709703584
[-5.368601050873036],0.7923090018017216
[-6.254482510866632],0.028698855339703584
[7.977619552565933],0.9923665639182406
[7.326622702572742],0.8641392080525392
[-8.793855512377247],-0.5898898708575342
[-2.2901846688486183],-0.7522089063551904
[-7.834142134472155],-0.9998032035848922
[-2.6099805421791],-0.5069236248099969
[4.7585437517343205],-0.9989350576115764
[5.06852125300281],-0.9372523207998762
[-4.216442235630882],0.8795185818104311
[9.455118249850294],-0.0303356344215541
[0.08289281660306891],0.08279792009499046
[7.650680659753569],0.9794054370838069
[6.567711098813177],0.2807023401152977
[7.896399478681804],0.9991004981081573
[8.893345179745388],0.5067690354850152
[7.977971293549686],0.9923231247194075
[3.0268915427625167],0.11444976832738052
[2.711648919636856],0.41681965785970926
[-8.319730824617455],-0.8934853606261792
[-9.751362844294459],0.32081030022333185
[-6.6853074287734255],-0.3913720674132432
[2.2498439882042547],0.778171189913418
[9.313158041577168],0.11138828465558658
[7.9556822496178015],0.9948329482675604
[7.082026753453736],0.7165484374917723
[-1.9384539813818336],-0.9331718154357795
[5.946243878571156],-0.33060205432618084
[0.0438406704966976],0.043826628186045054
[0.5165335695016608],0.4938689237090571
[-2.2150539553074333],-0.7995458592829225
[-7.174991485145508],-0.7782073095305813
[4.520665449757821],-0.9816772726389568
[5.803398862307503],-0.4615897426988244
[3.406997554530605],-0.262300013531097
[8.363579929726242],0.8729405400986682
[7.728687392036356],0.9921609397432694
[-9.235736180304112],-0.18791783277555427
[7.673005663237756],0.9836684966263792
[2.609334608013773],0.5074803084392377
[-3.040067318457556],-0.10135101472976764
[-0.20670760326805038],-0.20523871003749491
[-4.648913654757505],0.9979861178350699
[-1.0082283156867415],-0.8458882267688702
[-4.9016205851874],0.9821490634679103
[-3.935347965084583],0.7129914157850992
[-7.5907631691132105],-0.9655575696614431
[-2.7471892425428894],-0.3842574708067133
[-4.135688946306888],0.8382665525079327
[8.285707157572517],0.9082450764335395
[2.632002237480634],0.48781974385369653
[0.556649231142277],0.5283442652087362
[-5.857793057530785],0.4126781046375137
[6.4217855224546945],0.13815688916086713
[1.3455761511019873],0.9747449608437548
[-1.7468839686768423],-0.9845365891914446
[-8.590221301098476],-0.7409988787513849
[1.8165238544489846],0.969960601809117
[-0.6714018657681038],-0.6220841892490429
[5.726665362285079],-0.5282344928602885
[-1.7149230174306158],-0.9896317151154514
[0.7875387619635976],0.7086187917541481
[7.147281440483152],0.7605086686147733
[-5.439541136492645],0.7470705186344304
[2.2780116873632252],0.7601740554170963
[4.103687832712691],-0.8203913964903325
[5.27302772829036],-0.8469156441254797
[1.0916344931945012],0.8873816589558314
[5.379487741291278],-0.7856199933905053
[4.393415386096017],-0.9495577909263238
[5.235872778096731],-0.8660828870030501
[7.256983170041163],0.8270266893017969
[-0.6785562562390233],-0.627669753320329
[-7.43167991468809],-0.9121479723107883
[-5.104659264883442],0.9240435411550364
[-1.7697281648027303],-0.9802782297158028
[0.5715207961672064],0.5409117839805807
[4.222094835910061],-0.8821943884373471
[-6.587894530597436],-0.30001580616136025
[-4.805415204518937],0.9956761803121392
[-9.60070004041808],0.17501605974993473
[-2.6988033806928335],-0.4284614041737491
[-7.71599778575357],-0.9904953235729104
[-5.266934319364866],0.8501399329955556
[8.624541500342396],0.7175208144090055
[-4.262504598227752],0.9004973861110682
[7.708502253577684],0.9894365253397791
[2.872585345634146],0.2657745777209938
[7.840539699811561],0.9999096585632752
[-1.317855675906472],-0.9681807047895917
[2.957535482052659],0.1830197116336878
[7.885130080751509],0.9995149263528368
[-4.843588695275953],0.9914056561555045
[-7.726437901927364],-0.9918773184147107
[-5.366698940639958],0.7934680833502683
[9.959998476408714],-0.5100307297178844
[8.64672569280608],0.7018934170014847
[9.441995538976443],-0.01721672754217835
[6.686094058946782],0.3920958289233277
[3.4729831371203517],-0.3253581710093152
[-9.6968352298179],0.2687136068741912
[1.2352542141380223],0.9442319409386508
[-4.000557534127241],0.7571668062908639
[-5.345374867042471],0.8062647894641405
[-7.825756595122469],-0.9996017000341869
[1.7159566802275865],0.9894827232936991
[6.4264626514039485],0.1427876380961249
[1.0897972832087817],0.8865331426830046
[-7.768017499104891],-0.9963073585986467
[-6.6770396583578195],-0.3837505065805967
[-6.146196139901184],0.1365611119391844
[2.775279422519505],0.35817570667795084
[5.303232175022243],-0.8304712631347688
[-3.229408969596806],0.08770349059385296
[-5.973584757997907],0.3046782016920315
[6.991266270735633],0.6503772475830288
[5.3328118165949245],-0.8136327012077091
[9.76872208752265],-0.3372028325165014
[-4.028619535908861],0.7751969998262782
[-7.577109986212749],-0.9619152719895254
[6.843744032181142],0.531659497598314
[1.9595136816027825],0.9253959457461244
[4.64180335526015],-0.9975098689085002
[4.435717360656426],-0.9619699299645984
[-6.928473178676862],-0.6014284516465894
[-1.3559503171316862],-0.9770092360655376
[-4.908017806505638],0.9809256301350054
[-9.747584859236945],0.31722972537415933
[4.4072663627612645],-0.9538101241617609
[3.2340940584203004],-0.09236954639125454
[7.30231578922848],0.8516526237940956
[5.662393005210824],-0.5816798156031908
[-9.80437524301486],0.3705464496081152
[-0.2546199937971938],-0.2518776723759257
[-2.600563176511683],-0.51501871047774
[-5.364893209878803],0.794565778301128
[-7.941400229795221],-0.9961814272796995
[-7.408433205298084],-0.9023744542215147
[1.6709107620537438],0.9949927343001722
[9.673019193572244],-0.24569948610631387
[-9.195668435778519],-0.22711040767088456
[1.490059834473481],0.9967425794064169
[1.9001078243144782],0.9462652237106755
[5.852800779563518],-0.4172202940338396
[8.780361143738112],0.6007323149315522
[1.7838774567615694],0.9773839812991093
[-3.56884547397523],0.41437214033217534
[-5.685512622783886],0.5627201295101864
[-4.70171337874479],0.9999430163060116
[9.332388262265802],0.09225831705572318
[-1.7059786839395308],-0.9908767712240933
[0.2253600105444047],0.22345728382319413
[-1.2906518126265603],-0.9610154909686861
[7.424475514913734],0.90917152335324
[6.092564626453765],-0.18946836966034794
[9.98765084301786],-0.5336180666825149
[7.130727272467798],0.7496558756997002
[3.2278108264669125],-0.08611139438699567
[-7.759328132384669],-0.9955237008528248
[-3.1600639949239495],0.018470290977862593
[-2.6496994211262592],-0.47229550494601236
[1.4374417143667184],0.9911214429962297
[-8.399351642785831],-0.8549354129872085
[-0.585432357987262],-0.5525597927861461
[-7.655363379935389],-0.980340152717135
[8.271792674965884],0.9139793229656646
[-9.671595311254382],0.2443190028032335
[-2.4762746526678825],-0.6173093417870824
[-6.1246112271768105],0.15791033799943954
[-6.08409559184466],0.19777710903120532
[3.4357348336852933],-0.28991897933077415
[8.46647492953462],0.8182171437515806
[7.856400022656963],0.9999970756995155
[0.001110417851242218],0.001110417623046218
[7.270721146978584],0.8346713820423598
[7.4422428944171095],0.9164263590328422
[-1.0051222387860967],-0.8442274911811307
[-7.486175779300954],-0.9331185375408073
[-8.138858428526845],-0.9596962855033255
[3.7937662934365353],-0.6069153741746818
[-8.312198506106164],-0.8968426888284073
[-3.5211479666240253],0.3705074676934713
[-1.4181184691659894],-0.9883673591734549
[0.45075768579424036],0.4356476651696794
[-5.448786226566787],0.7408930542274057
[6.446486930219379],0.16257678469645792
[0.7963057229320398],0.7147773740158317
[2.161024813866243],0.8308135361103465
[3.302935450172784],-0.16064370800509928
[4.457066905914733],-0.9675820036948883
[-1.192513209832649],-0.9293000936197692
[1.4231037200797836],0.9891132580344815
[1.7926730541364257],0.9754861734642659
[6.88656790540216],0.5674310165469016
[0.1801613128405215],0.1791882777165099
[0.1332003308913592],0.13280679949840352
[1.7830019044389278],0.9775687617518375
[-5.504151762330904],0.7025920248124465
[0.4672915877347066],0.45046989277220706
[-3.827175475578022],0.6331242524859358
[-8.924093647873486],-0.48002596736796227
[2.0894722305575826],0.8684763358627522
[-1.6671732752418933],-0.9953593356467216
[-9.612432743745272],0.18655536467189532
[-2.7750428546739547],-0.35839656921568175
[-8.140257920468736],-0.959302033697184
[-6.993014883688328],-0.6517045188776347
[-3.8319428232102437],0.6368072101150937
[6.504543430597586],0.21955481059077103
[3.6429153035530337],-0.48058585345483706
[-8.037936593661515],-0.9831279454013697
[4.363560929793648],-0.9397739265402759
[-8.650251706431682],-0.6993775429729516
[9.322338600294515],0.10226029104458909
[-3.5237454983291823],0.37291887908426663
[5.764770685428637],-0.4955036923333553
[3.5637765783666744],-0.4097535966227018
[-2.278520732365921],-0.7598432204851044
[-8.688819700027317],-0.6712977149294694
[-0.24765873693113782],-0.245134804383389
[-4.176278558641833],0.8597019604442858
[-4.655158098848917],0.9983627600535827
[-0.8117228491834041],-0.7254740006769543
[4.195543330833997],-0.869382193799509
[-9.946379490258266],0.49826933803390244
[6.838721254354773],0.5273987262422175
[-8.311219709283726],-0.8972752295604732
[7.105234544686301],0.7325423268572805
[-1.3498089723025242],-0.9756815036809023
[2.055542628680797],0.8847931968187804
[8.086247310029613],0.9731473731771684
[-6.467270892812554],-0.18304764572006904
[9.298272635076799],0.12616817220496432
[4.2935809036772365],-0.9135743107749703
[1.3611580669114467],0.978106259040407
[-5.604380605942822],0.6278631433401924
[9.423908076314845],0.0008698843448278805
[-9.613115874454758],0.18722645906369273
[5.7687602847419335],-0.49203436885987467
[-3.5888173271751844],0.43246482754504795
[-5.899300359882565],0.37452547438988437
[9.06927949854505],0.3480577033889333
[7.358332391898195],0.8796601138621778
[-8.402333827445634],-0.8533846516827983
[-9.404328861840867],-0.020447673773196937
[-6.128280561051353],0.15428598666726093
[-7.309709068129326],-0.8555041795230323
[0.20532603533992777],0.20388635756052353
[9.097352305663886],0.3216065180511111
[-5.589998238846703],0.6389919590319548
[8.642390470690803],0.7049747122229988
[5.351972360205426],-0.8023444919380995
[8.295299195111834],0.9041896767867392
[-0.28233595099830744],-0.2785998709429416
[6.595086890085259],0.30686902504051233
[-7.447677552011096],-0.9185877830264418
[5.155768777727104],-0.9033069093908362
[-3.6708497895537207],0.5048922534325269
[7.216865931365383],0.8038149083656448
[-1.2626649923645274],-0.9529019593930361
[6.977096714913362],0.6395489629375238
[-3.572535404838078],0.4177275456442433
[5.832194349847381],-0.43585762505624576
[-0.4143946334529396],-0.4026358757341325
[-4.803154562773219],0.9958836317122456
[-3.6397559787148044],0.47781289702753127
[2.8461246432603655],0.29118761155221323
[2.783887902454545],0.35012519111972407
[-3.353220005188227],0.2100512232866703
[5.669029480596466],-0.5762688183571977
[-5.509568240429912],0.6987274099538792
[7.082316345725566],0.7167504088649069
[5.160671654913031],-0.9011927515745134
[3.0204433560301407],0.12085316051709914
[-8.46042580957372],-0.8216798478828085
[3.2991718021787424],-0.15692781154296684
[5.449044675974118],-0.7407194489132557
[1.0931212842438942],0.888066141453891
[-2.3699517695478995],-0.6973123090879879
[6.06277253073382],-0.21863243195853627
[7.115227560484705],0.7393080985224176
[-7.58284247938986],-0.9634664227628909
[3.0014414433603793],0.13969284383632843
[-1.2482999701013764],-0.9484471908393399
[-1.5180298539939088],-0.9986081726578488
[6.143761819437493],-0.1389722198263479
[-3.1655143975804867],0.023919462520295504
[-3.543123636250474],0.3908280137887532
[1.8655389307007866],0.9568769459266255
[8.791446717816335],0.5918332199871821
[-5.857154940295817],0.4132592668462163
[0.3136430484175339],0.30852600173735584
[-3.988856588935348],0.7494718387757969
[0.35291241487413316],0.34563219239298754
[-8.376561070268028],-0.8665346234256105
[1.75378417373026],0.9833043891258452
[-5.474209584396004],0.7235805570173336
[7.97457138369483],0.992737862965422
[-1.3416194410989561],-0.9738537167069856
[-3.5651079611555563],0.4109677154845783
[-3.0003656526883793],-0.1407580052160708
[2.8070800001952456],0.32830887569112654
[9.362654978878602],0.06208303142682955
[-1.3222714094621058],-0.9692763087573966
[-8.531702684686618],-0.7790036857210393
[-1.53488772147975],-0.9993553553051998
[-1.6882679235672917],-0.9931081428394706
[-6.715894696034397],-0.4193320110085589
[-1.0903138630611586],-0.8867720278492749
[-8.331018403989159],-0.8883593844468396
[-5.281791276441585],0.8422233649618593
[-6.923865293329719],-0.5977407172608453
[-6.535645157855809],-0.24978658822303915
[3.60487552557273],-0.44688733505374123
[9.632681413184152],-0.2064089548519089
[-6.729400351003953],-0.4315542737966303
[-0.06975952692967269],-0.06970296116570283
[-5.3824796438843485],0.7837653618966465
[-2.0642637678261933],-0.8806956901614637
[-4.242083784429942],0.891430027612844
[1.780145915135673],0.9781662925931228
[4.647207883054769],-0.9978764642686528
[2.131909672885424],0.8466631919557533
[-7.329337735383524],-0.8655023694112719
[-6.680457718119088],-0.3869046209473531
[-5.896973662685074],0.3766818110153665
[4.307594965349498],-0.9191835396070215
[-4.74040988376478],0.9996074401734404
[0.7058660618491075],0.6486931891288457
[1.8571932068052703],0.959267973280494
[-6.557303312990122],-0.27069797801402506
[-5.430552329832469],0.75301551965469
[-9.19744690470175],-0.22537805363194208
[-6.061887170173614],0.21949628744221644
[-4.000158126111066],0.7569058439697935
[-5.8840157834886275],0.38865328877273986
[0.42029579124773164],0.40803051893459386
[-0.560430226245872],-0.531550660135492
[-3.553493462088122],0.4003518778865933
[-9.511851993083567],0.08696404310498215
[8.271105085340807],0.9142581037795906
[1.9033812684732165],0.945201551442038
[-4.155282875693292],0.8487887583924145
[-3.7147000638903593],0.542245570944915
[-3.778453174663536],0.5946743396956751
[6.622156147210507],0.33251667033987936
[1.8885105738939245],0.9499519591667286
[9.760515145966295],-0.32946528577743456
[-5.2321145814163135],0.867955490402037
[8.257182651201976],0.9198097424823165
[-5.704748295710531],0.5467158864030159
[6.929205831816599],0.6020136263068816
[2.0647551113516442],0.8804628430381517
[3.3024982232823596],-0.16021214427459832
[9.235947881720918],0.18770989866242666
[-8.289126774939152],-0.9068088688353587
[8.30178003082883],0.9014025408091508
[-3.505016995081542],0.35547699193503596
[-4.852729847290542],0.9901683730571162
[1.9343884279042296],0.9346253837141357
[-1.602203166227234],-0.9995068457572849
[9.913018359172877],-0.4690726060904435
[-9.590440179720908],0.1649055198566731
[-8.837843234309348],-0.5538113526697651
[-1.45862410376877],-0.9937152901751027
[-3.314901397739467],0.17244246486292117
[-9.33033933505081],-0.09429831073262317
[2.0901721022667257],0.8681291753515268
[-1.0336109276663823],-0.8591523696909237
[1.8912552099673707],0.9490909688441804
[6.241643473453312],-0.04152988646764448
[-4.951241756251321],0.971610033781657
[0.2755301966918644],0.27205717342107566
[1.0815880821866468],0.8827052025987501
[-4.466055412097683],0.9698129969978555
[4.66899707069137],-0.999058718792046
[7.945264921413596],0.9958365729497807
[-4.398003869161],0.9509867018304792
[-8.8987458555323],-0.5021058429308033
[-7.827788491003518],-0.9996569792429852
[-8.722206557666697],-0.6461822728245838
[-1.6249233195652195],-0.9985354919304698
[4.973942937322102],-0.9659893193778015
[1.7935448404469856],0.975293956865418
[-8.89596516913339],-0.504508653409426
[4.260008480626068],-0.8994091166654409
[8.31908954407702],0.8937731710522377
[-5.213395792618414],0.877099425684591
[6.732711246645945],0.4345386188177227
[8.874097491110252],0.5232672249445436
[0.5854347186313973],0.55256176031837
[-9.008019650247768],-0.4047983649492411
[1.5571526329745886],0.9999069262532917
[6.908756168370974],0.5855601249514117
[-0.9339773487995195],-0.8039913883601707
[2.323426028525976],0.7298938343786071
[-5.016022478831155],0.9542564129587515
[-1.389981205920222],-0.983697435218099
[-6.693805288690093],-0.39917784929290306
[1.4171114308604],0.9882137022297208
[-1.998480710579841],-0.9099286246301506
[-6.613060003471956],-0.3239244832380561
[-9.701714337721947],0.2734100446727235
[-8.111825670923027],-0.9669419879014509
[7.441937420696597],0.9163040646679474
[2.706458280309608],0.42153225666403615
[3.7092874258710307],-0.5376898431665638
[6.081405986211511],-0.20041286839516656
[0.2643342987711037],0.26126674689953316
[4.819617321338454],-0.9942565477581448
[-6.682004063775904],-0.388330073653435
[2.3735786771090535],0.694708079211091
[-9.337701564803432],-0.08696639780168922
[7.9287260683559175],0.997207935003899
[5.713736957048109],-0.539167532085511
[-2.6609589904034063],-0.4623411388240766
[6.18737360680128],-0.09566517763139949
[-7.353536717773754],-0.8773691708493224
[-4.127663394673206],0.8338635858951626
[2.0380919823842714],0.8927897869661148
[-5.362948328523698],0.7957451641414045
[1.4965105287031033],0.9972420787223714
[-8.908350137354159],-0.4937769708805684
[-9.062745776966953],-0.35417541892612586
[-0.43095030092709585],-0.4177344050616847
[3.3382987619376348],-0.1954400257607678
[7.711003247194739],0.9897959914644985
[-7.564769685030561],-0.9584689228959242
[-9.199866318059822],-0.22302023109492078
[-4.226844489996296],0.8844209720106706
[-6.92932759329053],-0.6021108466534751
[5.0850908211976],-0.9313469164955476
[-4.029519219408526],0.7757650336865551
[-3.960661029161619],0.7305099385871954
[6.0145105873629525],-0.2654539363532764
[-4.153686260273053],0.8479434950540846
[-1.386300172342052],-0.9830288065038825
[-9.365401876761688],-0.05934120156832565
[1.0429434570737524],0.8638905267824218
[0.8940430169083129],0.7796101130667001
[9.38780172746155],0.03696780797501007
[-7.112153348308199],-0.73723453427993
[-3.26914994094807],0.12721165750235408
[-7.5005882592136235],-0.9382037258855356
[-9.129895526559794],-0.29062736091450786
[8.034187422888948],0.9838068296543728
[8.035158201937051],0.9836323714029547
[3.3733351999025096],-0.2296738353398792
[7.119073258142542],0.7418921922786584
[0.09453564968343287],0.09439490191336988
[0.061157184857489],0.0611190686229995
[8.965555483123552],0.44325127199596714
[7.5704879762335935],0.9600840830794969
[-8.904274525781856],-0.4973169653968398
[-4.512558385873602],0.9801002194531129
[-0.5431414659923934],-0.5168279129223875
[3.670677475603444],-0.5047435075727713
[-3.787893173687933],0.602237175109237
[7.1211708019906865],0.7432970025878147
[-7.016016871147929],-0.6689769677751967
[2.6393376825304458],0.48140324129273104
[9.03232095953156],0.38245976797103454
[-7.057086200332687],-0.6989304278135874
[-9.090696035908719],-0.3279019918155888
[1.0437574352230587],0.8643002247507477
[-9.01344597705971],-0.3998305640165763
[-7.588611292096424],-0.9649954387305832
[8.12317975650587],0.9639844724162919
[-0.3957130078353437],-0.38546619472044735
[4.517356162181571],-0.9810413099517652
